Fecha;Tipo de Cambio Minorista;Dólar Ahorro;Dólar MEP;Indice Merval;Badlar en $;Tasa de Interes deposito 30 días;Tasa de Interes prestamos por cuenta corriente;Crecimiento Económico;Riesgo crediticio;Desempleo;Indice de Volatilidad
27/09/2017;17,85;;;25271,2;21,5625;19,47;;;;;7300
28/09/2017;17,83;;;25597;21,5;19,68;;;;;7300
29/09/2017;17,79;;;26078,3;21,75;19,78;;;;;7300
02/10/2017;17,6;;;26350,8;21,125;19,18;;;;;7200
03/10/2017;17,69;;;26673;21,875;19,42;;;;;7000
04/10/2017;17,72;;;26476,8;21,25;19,3;;;;;6800
05/10/2017;17,64;;;27015,6;21,1875;19,33;;;;;7000
06/10/2017;17,66;;;26797,8;21,1875;19,14;;;;;7000
09/10/2017;17,76;;;27097,3;21,25;19,27;;;;;7000
10/10/2017;17,77;;;26889,8;22;20,17;;;;;7200
11/10/2017;17,73;;;27059,5;21,25;18,73;;;;;7100
12/10/2017;17,72;;;27140,8;21,625;19,27;;;;;7000
13/10/2017;17,73;;;26622,4;21,4375;19,78;;;;;7000
17/10/2017;17,65;;;26213,2;21,625;19,71;;;;;7200
18/10/2017;17,64;;;26804,6;21,8125;19,5;;;;;7100
19/10/2017;17,63;;;26979;21,625;19,38;;;;;7300
20/10/2017;17,72;;;27782,6;21,9375;19,48;;;;;7200
23/10/2017;17,74;;;28009,5;21,625;19,59;;;;;7200
24/10/2017;17,67;;;27878,2;22,125;19,73;;;;;7200
25/10/2017;17,77;;;27828,7;21,5625;19,41;;;;;7300
26/10/2017;17,76;;;27479,4;21,75;19,25;;;;;7500
27/10/2017;17,9;;;27405,8;22,0625;20,35;;;;;7600
30/10/2017;17,93;;;27935,3;22;20,38;;;;;7300
31/10/2017;17,96;;;27979,8;22,25;20,43;;;;;7400
01/11/2017;17,93;;;27944,5;21,75;19,75;;;;;7200
02/11/2017;17,93;;;27978,3;22,625;20,53;;;;;7300
03/11/2017;17,83;;;28120,2;22,0625;20,79;;;;;7100
07/11/2017;17,89;;;28081,6;22;20,37;;;;;7200
08/11/2017;17,93;;;27951,5;22,375;20,35;;;;;7200
09/11/2017;17,83;;;27080,6;22,4375;20,38;;;;;7300
10/11/2017;17,8;;;26714,9;22,1875;20,69;;;;;7300
13/11/2017;17,79;;;25611;22,5625;20,93;;;;;7200
14/11/2017;17,8;;;26312,7;22,625;20,66;;;;;7300
15/11/2017;17,75;;;27267,3;22,8125;20,86;;;;;7300
16/11/2017;17,79;;;27128,5;22,6875;20,94;;;;;7400
17/11/2017;17,78;;;27266,1;22,9375;21;;;;;7600
21/11/2017;17,77;;;27328;22,8125;21,02;;;;;7600
22/11/2017;17,78;;;27293,3;22,875;20,82;;;;;7700
23/11/2017;17,73;;;27464,8;22,9375;21,24;;;;;7700
24/11/2017;17,71;;;26912,2;22,5;20,73;;;;;7600
27/11/2017;17,66;;;26902,9;22,625;21,04;;;;;8000
28/11/2017;17,61;;;26905,3;22,8125;21,26;;;;;8400
29/11/2017;17,63;;;26941,6;22,9375;21,34;;;;;9800
30/11/2017;17,7;;;26834,3;23,3125;20,63;;;;;10300
01/12/2017;17,63;;;26483;22,4375;19,49;;;;;10500
04/12/2017;17,55;;;26470,5;23,125;21,47;;;;;11100
05/12/2017;17,61;;;26841,5;23,9375;21,73;;;;;11800
06/12/2017;17,63;;;27307,1;23,375;21,57;;;;;12500
07/12/2017;17,6;;;27341,6;22,875;21,45;;;;;11300
11/12/2017;17,6;;;27034,6;22,5625;20,95;;;;;10600
12/12/2017;17,56;;;27139,1;23,25;21,56;;;;;11000
13/12/2017;17,66;;;27021,9;23,375;21,39;;;;;11700
14/12/2017;17,64;;;27137,3;23,875;21,64;;;;;12600
15/12/2017;17,7;;;27706,7;23,375;21,54;;;;;12800
18/12/2017;17,81;;;28069;23,375;21,58;;;;;12800
19/12/2017;17,87;;;28480,7;23,1875;21,63;;;;;11600
20/12/2017;17,95;;;28931,5;24,3125;22,15;;;;;11200
21/12/2017;18,02;;;29185,6;23,4375;21,53;;;;;11300
22/12/2017;18,22;;;29193,5;23,3125;21,56;;;;;10600
26/12/2017;18,33;;;29974,5;23;21,57;;;;;10000
27/12/2017;18,61;;;31084,4;23;21,42;;;;;10400
28/12/2017;18,78;;;31476,3;23,125;18,55;;;;;10500
29/12/2017;19,46;;;31952;23,25;22,06;;;;;10400
02/01/2018;18,92;;;32190,3;23,0625;20,99;;;;;10300
03/01/2018;18,74;;;32351,2;23,25;21,8;;;;;10100
04/01/2018;18,78;;;32138,6;23,125;21,84;;;;;10700
05/01/2018;18,96;;;31632,4;23,1875;21,97;;;;;10600
08/01/2018;19,21;;;32078,2;22,875;21,76;;;;;11000
09/01/2018;19,34;;;32719,7;23,0625;21,72;;;;;10600
10/01/2018;19,29;;;33622,8;22,25;20,84;;;;;10500
11/01/2018;18,96;;;33521,6;22,8125;21,49;;;;;10500
12/01/2018;18,99;;;33598,2;22,9375;21,67;;;;;10600
15/01/2018;19,01;;;34049,4;23;21,7;;;;;10400
16/01/2018;19,05;;;33591,7;23,125;21,54;;;;;10000
17/01/2018;19,19;;;33525,5;22,9375;21,31;;;;;9900
18/01/2018;19,2;;;33893,4;23,25;21,53;;;;;10000
19/01/2018;19,15;;;34948,6;23,125;21,66;;;;;9700
22/01/2018;19,29;;;35141,7;22,875;21,16;;;;;9700
23/01/2018;19,42;;;35126,2;22,9375;21,57;;;;;9900
24/01/2018;19,66;;;34787,4;22,9375;21,7;;;;;9800
25/01/2018;19,93;;;34241,3;22,375;20,88;;;;;9900
26/01/2018;19,85;;;34938,6;22,8125;21,41;;;;;9300
29/01/2018;19,85;;;34641,4;23;19,62;;;;;9300
30/01/2018;19,88;;;32614,8;23,125;21,56;;;;;9300
31/01/2018;19,9;;;31145,6;23,1875;21,53;;;;;
01/02/2018;19,93;;;31624,2;22,6875;20,67;;;;;
02/02/2018;19,71;;;31626,7;22,8125;22,5;;;;;
05/02/2018;19,81;;;31021,6;22,6875;21,56;;;;;
06/02/2018;19,8;;;30143,4;22,8125;21,26;;;;;
07/02/2018;19,94;;;31551,3;22,5625;21,36;;;;;
08/02/2018;19,95;;;32023,6;23;21,43;;;;;
09/02/2018;20,22;;;32677,3;22,125;20,44;;;;;
14/02/2018;20,35;;;33281,3;22,75;21,33;;;;;
15/02/2018;20,23;;;32825,9;22,75;21,6;;;;;
16/02/2018;20;;;33042,3;22,75;21,07;;;;;
19/02/2018;20,02;;;33124,8;23,25;21,88;;;;;
20/02/2018;20,18;;;32742,4;23,1875;22,26;;;;;
21/02/2018;20,17;;;32918,2;22,8125;21,1;;;;;
22/02/2018;20,21;;;32516,3;22,875;21,38;;;;;
23/02/2018;20,27;;;33010,9;22,8125;21,83;;;;;
26/02/2018;20,28;;;32013;22,4375;21,09;;;;;
27/02/2018;20,48;;;31900,7;22,9375;21,78;;;;;
28/02/2018;20,49;;;32133,7;22,8125;21,55;;;;;
01/03/2018;20,42;;;32865;22,875;21,6;;;;;
02/03/2018;20,46;;;32743,6;22,9375;21,33;;;;;
05/03/2018;20,54;;;32822,6;22,75;20,97;;;;;
06/03/2018;20,52;;;33182,6;23,0625;21,6;;;;;
07/03/2018;20,61;;;33244;22,625;21,65;;;;;
08/03/2018;20,69;;;32980,1;22,8125;21,46;;;;;
09/03/2018;20,68;;;32824,5;22,75;21,58;;;;;
12/03/2018;20,54;;;32707,5;22,5625;20,82;;;;;
13/03/2018;20,51;;;32555,1;23;21,77;;;;;
14/03/2018;20,51;;;31724,4;23,0625;21,81;;;;;
15/03/2018;20,52;;;31797,6;22,5;19,11;;;;;
16/03/2018;20,61;;;32369,6;22,75;21,31;;;;;
19/03/2018;20,53;;;31908,2;22,8125;19,58;;;;;
20/03/2018;20,54;;;31461,3;22,9375;21,41;;;;;
21/03/2018;20,55;;;31636,6;23,3125;21,76;;;;;
22/03/2018;20,6;;;31236,1;23,125;21,91;;;;;
23/03/2018;20,57;;;31114,9;22,6875;21,04;;;;;
26/03/2018;20,5;;;31341,1;22,6875;21,67;;;;;
27/03/2018;20,47;;;31318,5;22,4375;21,44;;;;;
28/03/2018;20,48;;;31866,6;22,5625;20,12;;;;;
03/04/2018;20,44;;;31738,8;22,75;21,86;;;;;
04/04/2018;20,44;;;31844,4;22,8125;20,75;;;;;
05/04/2018;20,49;;;32222,4;22,875;21,62;;;;;
06/04/2018;20,5;;;32030,9;22,625;21,94;;;;;
09/04/2018;20,5;;;32038,8;22,6875;21,47;;;;;
10/04/2018;20,5;;;31593,1;22,875;21,46;;;;;
11/04/2018;20,5;;;31007,8;22,5;20,7;;;;;
12/04/2018;20,47;;;31402,8;22,8125;21,65;;;;;
13/04/2018;20,48;;;31531,9;22,8125;21,66;;;;;
16/04/2018;20,5;;;31281,3;22,75;21,31;;;;;
17/04/2018;20,51;;;31161,7;23,5;22,39;;;;;
18/04/2018;20,49;;;30941,1;23;19,28;;;;;
19/04/2018;20,45;;;30568,9;22,75;21,26;;;;;
20/04/2018;20,47;;;29946,8;23;21,7;;;;;
23/04/2018;20,48;;;29487,8;22,6875;21,18;;;;;
24/04/2018;20,51;;;30006,4;23,0625;21,77;;;;;
25/04/2018;20,54;;;29614;22,75;21,87;;;;;
26/04/2018;20,56;;;29503,4;22,4375;21,52;;;;;
27/04/2018;20,84;;;28553,3;22,8125;20,01;;;;;
02/05/2018;20,88;;;27512,6;23,5;21,98;;;;;
03/05/2018;21,52;;;26276,5;23,75;22,32;;;;;
04/05/2018;22,99;;;27907,9;25,75;22,34;;;;;
07/05/2018;22,28;;;29600,7;26,0625;23,9;;;;;
08/05/2018;22,33;;;29852,1;28,25;24,99;;;;;
09/05/2018;22,9;;;30441,6;28,6875;24,72;;;;;
10/05/2018;23,13;;;30676,9;29,0625;25,84;;;;;
11/05/2018;23,22;;;31660,6;28,625;24,64;;;;;
14/05/2018;23,73;;;31806,2;28,6875;26,09;;;;;
15/05/2018;25,51;;;31869,8;31,125;27;;;;;
